run, subrun, event, track-id, start wire, start time-tick, end wire, end time-tick 
5925, 151, 7574, 5, 183, 3063.91, 185, 3064.23
5925, 163, 8193, 6, 2297, 1923.17, 2298, 1979.9
5925, 165, 8291, 2, 1532, 1703.53, 1579, 1761.67
5925, 167, 8381, 8, 686, 2025.98, 693, 2072.89
5925, 171, 8583, 6, 222, 3720.88, 224, 3723.91
5925, 182, 9110, 9, 2983, 2406.19, 3000, 2468.57
5925, 186, 9350, 6, 1395, 2147.02, 1406, 2192.64
5925, 190, 9523, 13, 928, 1363.52, 939, 1377.33
5925, 190, 9523, 15, 593, 4067.93, 599, 4154.88
5925, 190, 9523, 16, 941, 1373.32, 948, 1379.07
5925, 195, 9784, 5, 1747, 936.352, 1825, 1041.11
5925, 198, 9929, 6, 1547, 4393.33, 1572, 4447.08
5925, 202, 10116, 6, 1856, 2449.73, 1863, 2488.93
5925, 202, 10131, 5, 1760, 4956.4, 1765, 4960.72
5925, 207, 10362, 9, 541, 1586.53, 556, 1587.53
5929, 1, 75, 2, 2033, 1850.1, 2061, 1894.04
5929, 2, 108, 10, 1823, 5045.75, 1827, 5123.69
5929, 6, 317, 2, 691, 2305.15, 718, 2388.85
5929, 26, 1348, 5, 1470, 4937.81, 1486, 4984.91
5929, 68, 3410, 6, 1293, 5333.82, 1310, 5362.36
5929, 71, 3574, 2, 1777, 1784.45, 1786, 1988.23
5929, 78, 3903, 3, 1983, 3604.02, 2029, 3676.9
5929, 99, 4990, 10, 1200, 4476.79, 1261, 4488.91
5929, 107, 5388, 5, 29, 4225.3, 51, 4229.16
5929, 107, 5392, 7, 1098, 5242.59, 1152, 5278.65
5929, 107, 5392, 8, 1083, 4609.73, 1107, 4699.07
5929, 108, 5408, 5, 201, 4800.76, 206, 4896.63
5930, 3, 197, 2, 1171, 4174.01, 1175, 4185.4
5930, 14, 728, 2, 992, 2471.28, 1040, 2634.8
5930, 21, 1094, 3, 1774, 2511.67, 1895, 2925.93
5930, 22, 1144, 6, 272, 3401.96, 285, 3448.3
5930, 43, 2170, 8, 3013, 3136.16, 3018, 3196.85
5930, 45, 2278, 5, 2475, 2947.65, 2479, 2997.14
5930, 46, 2327, 2, 305, 1886.21, 340, 2033.62
5930, 47, 2400, 5, 1748, 2467.81, 1764, 2511.61
5930, 67, 3383, 3, 1615, 1289.37, 1690, 1404.33
5930, 77, 3880, 4, 2059, 1786.75, 2062, 1795.13
5930, 91, 4576, 7, 2103, 1309.8, 2130, 1432.43
5932, 0, 41, 5, 2087, 5010.7, 2091, 5120.21
5932, 5, 295, 4, 1329, 3476.46, 1335, 3479.68
5932, 11, 575, 4, 2234, 4532.63, 2239, 4609.19
5932, 33, 1693, 7, 122, 2930.08, 168, 3152.28
5932, 37, 1898, 9, 439, 4761.59, 445, 4793.44
5933, 1, 94, 6, 2967, 3368.92, 2972, 3416.71
5933, 3, 156, 7, 140, 5214.71, 141, 5215.26
5933, 29, 1490, 4, 857, 2469.23, 884, 2519.25
5933, 30, 1530, 11, 3085, 4899.02, 3095, 4904.5
5933, 37, 1900, 3, 23, 1028.34, 142, 1209.23
5933, 43, 2172, 9, 3309, 2560.23, 3321, 2564.05
5933, 46, 2334, 4, 121, 4736.44, 145, 4825.94
5933, 52, 2636, 1, 1454, 2916.84, 1461, 2936.7
5933, 53, 2652, 4, 1351, 4504.89, 1362, 4635.6
5933, 53, 2667, 8, 1511, 4792.93, 1526, 4823.66
5933, 89, 4458, 7, 2292, 4741, 2297, 4741.78
5933, 122, 6144, 3, 1943, 2491.68, 1949, 2493.98
5933, 144, 7201, 2, 2075, 1857, 2079, 1947.23
5933, 154, 7726, 11, 321, 3696.11, 323, 3772.69
5933, 154, 7744, 6, 2173, 3630.77, 2175, 3633.3
5933, 155, 7794, 4, 2635, 2865.57, 2664, 2937.93
5933, 164, 8238, 7, 85, 3283.64, 89, 3364.83
5933, 170, 8548, 10, 1096, 3786.22, 1101, 3789.92
5933, 174, 8728, 6, 2901, 1877.53, 2905, 1881.15
5933, 182, 9133, 4, 1476, 1273.2, 1487, 1276.47
5935, 7, 384, 1, 1306, 2990.7, 1311, 3108.21
5935, 12, 635, 2, 2252, 3622.49, 2258, 3647.42
5935, 22, 1140, 4, 1493, 1321.89, 1496, 1324.84
5935, 44, 2214, 1, 973, 3947.54, 1154, 4322.05
5935, 49, 2468, 7, 496, 5067.1, 508, 5113.18
5935, 59, 2994, 6, 488, 2825.12, 502, 2882.63
5935, 89, 4480, 3, 1328, 2645.7, 1334, 2700.45
5937, 11, 583, 4, 2090, 3489.37, 2130, 3617.87
5937, 22, 1147, 6, 1486, 1508.94, 1493, 1587.64
5937, 24, 1229, 11, 1139, 4628.37, 1140, 4632.93
5937, 28, 1449, 0, 1764, 5223.94, 1794, 5298.2
5937, 29, 1496, 7, 234, 3497.12, 249, 3599.51
5937, 43, 2162, 6, 1380, 3971.42, 1383, 4011.7
5937, 57, 2873, 2, 1177, 1915.91, 1185, 1919.07
5938, 1, 75, 4, 3322, 4625.82, 3341, 4656.91
5938, 17, 885, 5, 454, 2719.09, 556, 2985.06
5938, 29, 1465, 2, 1917, 4938.31, 1919, 4981.37
5938, 30, 1509, 3, 786, 5084.56, 797, 5095.9
5938, 36, 1804, 3, 581, 1978.54, 644, 2128.57
5938, 38, 1933, 7, 2751, 3081.36, 2753, 3141.62
5938, 44, 2220, 1, 1391, 4322.92, 1459, 4494.1
5938, 49, 2473, 7, 1712, 4523.99, 1717, 4547.38
5938, 78, 3940, 5, 2634, 4810.85, 2640, 4882
5938, 85, 4271, 7, 1981, 1347.25, 1993, 1348.18
5940, 1, 55, 3, 2474, 2492.54, 2500, 2554.16
5940, 2, 140, 4, 2975, 2527.17, 3012, 2576.67
5940, 29, 1484, 4, 2891, 5058.05, 2918, 5375.51
5940, 30, 1534, 3, 1586, 2608.5, 1614, 2687.89
5940, 40, 2033, 5, 790, 2063.63, 792, 2069.78
5940, 40, 2046, 8, 1631, 2451.42, 1642, 2515.37
5941, 4, 203, 5, 2063, 2080.04, 2065, 2087.98
5941, 5, 269, 2, 793, 4973.47, 795, 4975.8
5941, 9, 461, 5, 1600, 2411.93, 1606, 2437.1
5941, 14, 703, 6, 3032, 4516.66, 3042, 4615.65
5941, 23, 1185, 5, 234, 5011.96, 242, 5044.15
5941, 29, 1452, 0, 630, 4370.71, 632, 4442.34
5941, 30, 1530, 1, 1400, 3447.05, 1420, 3532.5
5941, 35, 1768, 5, 1114, 3167.38, 1129, 3297.01
5941, 35, 1768, 7, 1116, 3289.55, 1117, 3388.84
5946, 1, 51, 2, 2426, 4243.57, 2429, 4249.23
5946, 13, 670, 11, 813, 4997.3, 814, 4998.47
5946, 13, 698, 8, 2534, 1498.36, 2539, 1589.77
5946, 29, 1475, 11, 2469, 4982.51, 2484, 5039.62
5946, 30, 1534, 4, 2169, 2745.99, 2189, 2780.57
5946, 33, 1681, 8, 2754, 3527.38, 2775, 3656.77
5946, 33, 1681, 9, 2729, 3371.39, 2736, 3431.82
5946, 41, 2061, 4, 1144, 4331.5, 1152, 4335.92
5946, 49, 2494, 7, 2552, 1078.03, 2567, 1187.49
5946, 73, 3697, 6, 2894, 1656.33, 3012, 1681.36
5946, 73, 3697, 13, 3052, 2804.48, 3064, 2861.78
5946, 76, 3809, 9, 836, 1395.58, 842, 1535.48
5946, 85, 4264, 8, 1755, 3807.31, 1759, 3818.37
